output,confidence,ruleSet3,ruleSet4,ruleSet5,ruleSet6,ruleSet7,ruleSet8,ruleSet9,ruleSet10,ruleSet11,ruleSet12,ruleSet13,ruleSet14,ruleSet15,ruleSet16,ruleSet17,ruleSet18,ruleSet19,ruleSet20,ruleSet21,ruleSet22
h^1_1,4.6434,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_10,20.7955,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_11,4.7981,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_12,6.4641,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_13,6.8862,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_14,8.9206,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_15,9.6095,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_16,4.1437,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_17,14.7793,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_18,3.0269,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_19,16.9966,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_2,1.8334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_20,7.586,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_3,8.6681,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_4,2.986,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_5,14.8804,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_6,6.4901,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_7,3.0723,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_8,13.5227,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^1_9,16.1757,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
h^2_1,2.6654,0,0,0,0,-1,1,0,0,1,-1,-1,-1,-1,0,0,0,0,-1,0,0
h^2_10,1.2391,0,1,-1,1,0,1,0,0,1,-1,0,0,-1,0,0,0,0,-1,-1,-1
h^2_11,26.2602,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
h^2_12,7.068,0,-1,1,0,0,1,0,1,0,0,-1,-1,0,1,0,0,0,0,-1,0
h^2_13,2.0568,0,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,-1
h^2_14,7.3509,0,0,0,1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0
h^2_15,9.719,1,1,-1,1,0,1,0,0,0,-1,-1,0,0,1,0,0,0,-1,0,-1
h^2_16,23.4585,-1,-1,1,-1,1,1,-1,1,1,0,0,0,-1,0,-1,-1,0,1,0,1
h^2_17,18.4284,1,0,0,1,-1,0,-1,0,-1,1,0,-1,1,1,0,-1,0,1,0,0
h^2_18,2.7036,0,0,-1,1,0,0,0,0,-1,0,1,0,0,0,0,0,0,1,0,0
h^2_19,4.8328,0,-1,-1,-1,-1,0,0,0,1,0,1,-1,0,0,0,1,0,0,0,0
h^2_2,5.8637,1,-1,-1,0,0,0,1,0,0,0,-1,-1,1,0,0,1,0,-1,0,0
h^2_20,9.1862,0,-1,1,-1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-1
h^2_3,5.0566,0,-1,0,-1,-1,0,1,0,0,0,-1,-1,0,0,0,0,-1,-1,0,0
h^2_4,5.67,1,-1,0,-1,0,-1,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,1
